Forest Type,Seral Stage,Total Acres,Acres Meeting Threshold,Percent Meeting Threshold
Jeffrey Pine,Early,696.1,696.1,100.0
Jeffrey Pine,Mid,12855.53,510.4,3.97
Jeffrey Pine,Late,7103.74,491.27,6.92
Sierran Mixed Conifer,Early,2306.46,2304.46,99.91
Sierran Mixed Conifer,Mid,39751.08,7613.02,19.15
Sierran Mixed Conifer,Late,26346.67,10255.07,38.92
Red Fir,Early,491.05,484.6,98.69
Red Fir,Mid,10960.51,4746.35,43.3
Red Fir,Late,10913.36,7359.71,67.44
